"Fri, Oct 31, 1986",Washington Bullets,102,Boston Celtics,120,Box Score,,
"Fri, Oct 31, 1986",Utah Jazz,77,Dallas Mavericks,103,Box Score,,
"Fri, Oct 31, 1986",San Antonio Spurs,104,Denver Nuggets,134,Box Score,,
"Fri, Oct 31, 1986",Milwaukee Bucks,120,Detroit Pistons,104,Box Score,,
"Fri, Oct 31, 1986",New York Knicks,97,New Jersey Nets,108,Box Score,,
"Fri, Oct 31, 1986",Indiana Pacers,104,Philadelphia 76ers,108,Box Score,,
"Fri, Oct 31, 1986",Golden State Warriors,123,Phoenix Suns,127,Box Score,,
"Fri, Oct 31, 1986",Seattle SuperSonics,127,Portland Trail Blazers,110,Box Score,,
"Fri, Oct 31, 1986",Los Angeles Clippers,106,Sacramento Kings,107,Box Score,,
"Sat, Nov 1, 1986",New Jersey Nets,111,Atlanta Hawks,131,Box Score,,
"Sat, Nov 1, 1986",Washington Bullets,106,Cleveland Cavaliers,113,Box Score,,
"Sat, Nov 1, 1986",Denver Nuggets,109,Golden State Warriors,131,Box Score,,
"Sat, Nov 1, 1986",Los Angeles Lakers,102,Houston Rockets,112,Box Score,,
"Sat, Nov 1, 1986",Detroit Pistons,89,Indiana Pacers,92,Box Score,,
"Sat, Nov 1, 1986",Phoenix Suns,111,Los Angeles Clippers,117,Box Score,,
"Sat, Nov 1, 1986",Boston Celtics,105,Milwaukee Bucks,111,Box Score,,
"Sat, Nov 1, 1986",Chicago Bulls,108,New York Knicks,103,Box Score,,
"Sat, Nov 1, 1986",Dallas Mavericks,105,San Antonio Spurs,108,Box Score,,
"Sat, Nov 1, 1986",Sacramento Kings,103,Seattle SuperSonics,114,Box Score,,
"Sat, Nov 1, 1986",Portland Trail Blazers,110,Utah Jazz,119,Box Score,,
"Sun, Nov 2, 1986",Chicago Bulls,94,Cleveland Cavaliers,89,Box Score,,
"Sun, Nov 2, 1986",Atlanta Hawks,122,Philadelphia 76ers,113,Box Score,,
"Mon, Nov 3, 1986",New York Knicks,95,Golden State Warriors,104,Box Score,,
"Tue, Nov 4, 1986",Milwaukee Bucks,98,Atlanta Hawks,107,Box Score,,
"Tue, Nov 4, 1986",San Antonio Spurs,104,Chicago Bulls,111,Box Score,,
"Tue, Nov 4, 1986",Los Angeles Clippers,86,Dallas Mavericks,118,Box Score,,
"Tue, Nov 4, 1986",New York Knicks,103,Denver Nuggets,118,Box Score,,
"Tue, Nov 4, 1986",Philadelphia 76ers,121,Indiana Pacers,125,Box Score,2OT,
"Tue, Nov 4, 1986",Portland Trail Blazers,120,Phoenix Suns,126,Box Score,,
"Tue, Nov 4, 1986",Houston Rockets,100,Sacramento Kings,84,Box Score,,
"Tue, Nov 4, 1986",Los Angeles Lakers,110,Seattle SuperSonics,96,Box Score,,
"Tue, Nov 4, 1986",New Jersey Nets,101,Washington Bullets,102,Box Score,,
"Wed, Nov 5, 1986",Indiana Pacers,102,Boston Celtics,133,Box Score,,
"Wed, Nov 5, 1986",Washington Bullets,85,Detroit Pistons,109,Box Score,,
"Wed, Nov 5, 1986",Portland Trail Blazers,92,Golden State Warriors,102,Box Score,,
"Wed, Nov 5, 1986",San Antonio Spurs,112,New Jersey Nets,103,Box Score,,
"Wed, Nov 5, 1986",Milwaukee Bucks,101,Philadelphia 76ers,107,Box Score,,
"Wed, Nov 5, 1986",Cleveland Cavaliers,95,Utah Jazz,111,Box Score,,
"Thu, Nov 6, 1986",Utah Jazz,121,Denver Nuggets,135,Box Score,,
