"Tue, Oct 31, 2000",7:30 pm,Charlotte Hornets,106,Atlanta Hawks,82,Box Score,,
"Tue, Oct 31, 2000",7:30 pm,Sacramento Kings,100,Chicago Bulls,81,Box Score,,
"Tue, Oct 31, 2000",7:00 pm,Milwaukee Bucks,93,Dallas Mavericks,97,Box Score,,
"Tue, Oct 31, 2000",7:30 pm,Phoenix Suns,94,Golden State Warriors,96,Box Score,,
"Tue, Oct 31, 2000",7:30 pm,Minnesota Timberwolves,106,Houston Rockets,98,Box Score,,
"Tue, Oct 31, 2000",7:30 pm,Cleveland Cavaliers,86,New Jersey Nets,82,Box Score,,
"Tue, Oct 31, 2000",8:00 pm,Philadelphia 76ers,101,New York Knicks,72,Box Score,,
"Tue, Oct 31, 2000",7:30 pm,Washington Wizards,86,Orlando Magic,97,Box Score,,
"Tue, Oct 31, 2000",7:30 pm,Los Angeles Lakers,96,Portland Trail Blazers,86,Box Score,,
"Tue, Oct 31, 2000",7:30 pm,Indiana Pacers,85,San Antonio Spurs,98,Box Score,,
"Tue, Oct 31, 2000",8:00 pm,Detroit Pistons,104,Toronto Raptors,95,Box Score,,
"Tue, Oct 31, 2000",7:00 pm,Los Angeles Clippers,94,Utah Jazz,107,Box Score,,
"Tue, Oct 31, 2000",7:30 pm,Seattle SuperSonics,88,Vancouver Grizzlies,94,Box Score,,
"Wed, Nov 1, 2000",7:00 pm,Detroit Pistons,83,Boston Celtics,103,Box Score,,
"Wed, Nov 1, 2000",7:30 pm,Washington Wizards,95,Charlotte Hornets,77,Box Score,,
"Wed, Nov 1, 2000",7:30 pm,Sacramento Kings,100,Cleveland Cavaliers,102,Box Score,2OT,
"Wed, Nov 1, 2000",7:30 pm,Utah Jazz,97,Los Angeles Lakers,92,Box Score,,
"Wed, Nov 1, 2000",8:00 pm,Orlando Magic,79,Miami Heat,105,Box Score,,
"Wed, Nov 1, 2000",7:00 pm,Toronto Raptors,98,Philadelphia 76ers,104,Box Score,,
"Wed, Nov 1, 2000",7:00 pm,Denver Nuggets,99,Seattle SuperSonics,112,Box Score,,
"Thu, Nov 2, 2000",7:00 pm,Indiana Pacers,88,Dallas Mavericks,94,Box Score,,
"Thu, Nov 2, 2000",7:00 pm,Golden State Warriors,97,Denver Nuggets,101,Box Score,,
"Thu, Nov 2, 2000",7:30 pm,Milwaukee Bucks,93,Houston Rockets,115,Box Score,,
"Thu, Nov 2, 2000",7:30 pm,Vancouver Grizzlies,99,Los Angeles Clippers,91,Box Score,,
"Thu, Nov 2, 2000",7:30 pm,Atlanta Hawks,69,New York Knicks,94,Box Score,,
"Thu, Nov 2, 2000",7:00 pm,Portland Trail Blazers,82,Phoenix Suns,108,Box Score,,
"Thu, Nov 2, 2000",7:00 pm,Minnesota Timberwolves,91,San Antonio Spurs,103,Box Score,,
"Fri, Nov 3, 2000",7:30 pm,Toronto Raptors,91,Boston Celtics,93,Box Score,,
"Fri, Nov 3, 2000",7:30 pm,Miami Heat,79,Charlotte Hornets,83,Box Score,,
"Fri, Nov 3, 2000",7:30 pm,New Jersey Nets,92,Chicago Bulls,82,Box Score,,
"Fri, Nov 3, 2000",8:00 pm,Sacramento Kings,100,Detroit Pistons,93,Box Score,,
