"Fri, Nov 4, 1988",New York Knicks,115,Boston Celtics,122,Box Score,OT,
"Fri, Nov 4, 1988",Cleveland Cavaliers,133,Charlotte Hornets,93,Box Score,,
"Fri, Nov 4, 1988",Detroit Pistons,107,Chicago Bulls,94,Box Score,,
"Fri, Nov 4, 1988",Los Angeles Lakers,116,Dallas Mavericks,113,Box Score,,
"Fri, Nov 4, 1988",Houston Rockets,117,Denver Nuggets,120,Box Score,,
"Fri, Nov 4, 1988",Milwaukee Bucks,117,Indiana Pacers,103,Box Score,,
"Fri, Nov 4, 1988",Atlanta Hawks,113,New Jersey Nets,105,Box Score,,
"Fri, Nov 4, 1988",Los Angeles Clippers,110,Philadelphia 76ers,129,Box Score,,
"Fri, Nov 4, 1988",Phoenix Suns,105,Portland Trail Blazers,120,Box Score,,
"Fri, Nov 4, 1988",Seattle SuperSonics,104,Utah Jazz,97,Box Score,,
"Sat, Nov 5, 1988",Charlotte Hornets,85,Detroit Pistons,94,Box Score,,
"Sat, Nov 5, 1988",Phoenix Suns,104,Golden State Warriors,117,Box Score,,
"Sat, Nov 5, 1988",Dallas Mavericks,114,Houston Rockets,113,Box Score,OT,
"Sat, Nov 5, 1988",Cleveland Cavaliers,105,Indiana Pacers,99,Box Score,,
"Sat, Nov 5, 1988",Los Angeles Clippers,111,Miami Heat,91,Box Score,,
"Sat, Nov 5, 1988",Atlanta Hawks,107,Milwaukee Bucks,94,Box Score,,
"Sat, Nov 5, 1988",New York Knicks,102,New Jersey Nets,112,Box Score,,
"Sat, Nov 5, 1988",Boston Celtics,115,Philadelphia 76ers,129,Box Score,,
"Sat, Nov 5, 1988",Sacramento Kings,103,Portland Trail Blazers,121,Box Score,,
"Sat, Nov 5, 1988",Los Angeles Lakers,107,San Antonio Spurs,122,Box Score,,
"Sat, Nov 5, 1988",Denver Nuggets,141,Seattle SuperSonics,142,Box Score,OT,
"Sat, Nov 5, 1988",Chicago Bulls,111,Washington Bullets,98,Box Score,,
"Tue, Nov 8, 1988",Indiana Pacers,107,Atlanta Hawks,112,Box Score,,
"Tue, Nov 8, 1988",Los Angeles Clippers,105,Charlotte Hornets,117,Box Score,,
"Tue, Nov 8, 1988",Miami Heat,88,Dallas Mavericks,92,Box Score,,
"Tue, Nov 8, 1988",Los Angeles Lakers,114,Golden State Warriors,102,Box Score,,
"Tue, Nov 8, 1988",San Antonio Spurs,102,Houston Rockets,120,Box Score,,
"Tue, Nov 8, 1988",Washington Bullets,101,New Jersey Nets,109,Box Score,,
"Tue, Nov 8, 1988",Chicago Bulls,117,New York Knicks,126,Box Score,,
"Tue, Nov 8, 1988",Detroit Pistons,116,Philadelphia 76ers,109,Box Score,,
"Tue, Nov 8, 1988",Seattle SuperSonics,97,Sacramento Kings,75,Box Score,,
"Wed, Nov 9, 1988",Chicago Bulls,110,Boston Celtics,104,Box Score,,
"Wed, Nov 9, 1988",Los Angeles Clippers,91,Cleveland Cavaliers,108,Box Score,,
"Wed, Nov 9, 1988",Atlanta Hawks,95,Detroit Pistons,101,Box Score,OT,
"Wed, Nov 9, 1988",Denver Nuggets,110,Los Angeles Lakers,128,Box Score,,
"Wed, Nov 9, 1988",Philadelphia 76ers,103,Milwaukee Bucks,114,Box Score,,
"Wed, Nov 9, 1988",Dallas Mavericks,103,Phoenix Suns,111,Box Score,,
"Wed, Nov 9, 1988",Miami Heat,93,San Antonio Spurs,117,Box Score,,
"Wed, Nov 9, 1988",Golden State Warriors,113,Seattle SuperSonics,108,Box Score,,
"Wed, Nov 9, 1988",Sacramento Kings,81,Utah Jazz,105,Box Score,,
"Wed, Nov 9, 1988",New York Knicks,117,Washington Bullets,110,Box Score,,
"Thu, Nov 10, 1988",Portland Trail Blazers,115,Denver Nuggets,135,Box Score,,
"Thu, Nov 10, 1988",Utah Jazz,99,Houston Rockets,106,Box Score,,
"Fri, Nov 11, 1988",Detroit Pistons,116,Boston Celtics,107,Box Score,,
"Fri, Nov 11, 1988",New Jersey Nets,85,Chicago Bulls,97,Box Score,,
"Fri, Nov 11, 1988",San Antonio Spurs,102,Dallas Mavericks,115,Box Score,,
"Fri, Nov 11, 1988",New York Knicks,121,Indiana Pacers,120,Box Score,OT,
"Fri, Nov 11, 1988",Seattle SuperSonics,103,Los Angeles Lakers,114,Box Score,,
"Fri, Nov 11, 1988",Houston Rockets,121,Miami Heat,100,Box Score,,
"Fri, Nov 11, 1988",Atlanta Hawks,105,Philadelphia 76ers,107,Box Score,,
"Fri, Nov 11, 1988",Golden State Warriors,103,Phoenix Suns,141,Box Score,,
"Fri, Nov 11, 1988",Charlotte Hornets,87,Washington Bullets,96,Box Score,,
"Sat, Nov 12, 1988",Charlotte Hornets,111,Atlanta Hawks,132,Box Score,,
"Sat, Nov 12, 1988",Indiana Pacers,96,Cleveland Cavaliers,121,Box Score,,
"Sat, Nov 12, 1988",Sacramento Kings,71,Dallas Mavericks,111,Box Score,,
"Sat, Nov 12, 1988",Seattle SuperSonics,129,Denver Nuggets,141,Box Score,,
"Sat, Nov 12, 1988",Portland Trail Blazers,100,Golden State Warriors,107,Box Score,,
"Sat, Nov 12, 1988",Phoenix Suns,127,Los Angeles Clippers,138,Box Score,OT,
"Sat, Nov 12, 1988",Boston Celtics,100,Milwaukee Bucks,108,Box Score,,
"Sat, Nov 12, 1988",Chicago Bulls,91,New Jersey Nets,97,Box Score,,
"Sat, Nov 12, 1988",Washington Bullets,101,New York Knicks,111,Box Score,,
"Sat, Nov 12, 1988",Utah Jazz,105,San Antonio Spurs,96,Box Score,,
"Sun, Nov 13, 1988",Sacramento Kings,127,Houston Rockets,129,Box Score,,
"Sun, Nov 13, 1988",Denver Nuggets,143,Portland Trail Blazers,132,Box Score,,
"Mon, Nov 14, 1988",Golden State Warriors,100,New Jersey Nets,96,Box Score,,
"Tue, Nov 15, 1988",New Jersey Nets,106,Charlotte Hornets,99,Box Score,,
"Tue, Nov 15, 1988",Philadelphia 76ers,107,Chicago Bulls,120,Box Score,,
"Tue, Nov 15, 1988",Atlanta Hawks,97,Cleveland Cavaliers,95,Box Score,,
"Tue, Nov 15, 1988",Detroit Pistons,108,Dallas Mavericks,99,Box Score,,
"Tue, Nov 15, 1988",Los Angeles Lakers,148,Denver Nuggets,146,Box Score,2OT,
"Tue, Nov 15, 1988",New York Knicks,126,Houston Rockets,121,Box Score,,
"Tue, Nov 15, 1988",Boston Celtics,84,Miami Heat,65,Box Score,,
"Tue, Nov 15, 1988",Los Angeles Clippers,103,Portland Trail Blazers,125,Box Score,,
"Tue, Nov 15, 1988",Phoenix Suns,119,Sacramento Kings,89,Box Score,,
"Tue, Nov 15, 1988",Indiana Pacers,96,Utah Jazz,108,Box Score,,
"Wed, Nov 16, 1988",Golden State Warriors,104,Boston Celtics,107,Box Score,,
"Wed, Nov 16, 1988",Sacramento Kings,101,Los Angeles Clippers,112,Box Score,,
"Wed, Nov 16, 1988",Chicago Bulls,110,Philadelphia 76ers,123,Box Score,,
"Wed, Nov 16, 1988",Indiana Pacers,104,Phoenix Suns,123,Box Score,,
"Wed, Nov 16, 1988",Detroit Pistons,94,San Antonio Spurs,88,Box Score,,
"Thu, Nov 17, 1988",Charlotte Hornets,93,Dallas Mavericks,105,Box Score,,
"Thu, Nov 17, 1988",San Antonio Spurs,112,Denver Nuggets,139,Box Score,,
"Thu, Nov 17, 1988",Miami Heat,107,Houston Rockets,113,Box Score,,
"Thu, Nov 17, 1988",New Jersey Nets,105,Milwaukee Bucks,96,Box Score,,
"Thu, Nov 17, 1988",Los Angeles Lakers,98,Seattle SuperSonics,101,Box Score,,
"Thu, Nov 17, 1988",Portland Trail Blazers,99,Utah Jazz,123,Box Score,,
"Fri, Nov 18, 1988",Washington Bullets,108,Boston Celtics,114,Box Score,,
"Fri, Nov 18, 1988",Atlanta Hawks,112,Chicago Bulls,115,Box Score,OT,
"Fri, Nov 18, 1988",Indiana Pacers,110,Los Angeles Clippers,113,Box Score,,
"Fri, Nov 18, 1988",Portland Trail Blazers,105,Los Angeles Lakers,106,Box Score,,
"Fri, Nov 18, 1988",Golden State Warriors,123,Miami Heat,117,Box Score,OT,
"Fri, Nov 18, 1988",Cleveland Cavaliers,95,New Jersey Nets,94,Box Score,,
"Fri, Nov 18, 1988",New York Knicks,135,Philadelphia 76ers,137,Box Score,,
"Fri, Nov 18, 1988",Detroit Pistons,121,Phoenix Suns,105,Box Score,,
"Sat, Nov 19, 1988",Golden State Warriors,92,Atlanta Hawks,111,Box Score,,
"Sat, Nov 19, 1988",Milwaukee Bucks,99,Cleveland Cavaliers,106,Box Score,,
"Sat, Nov 19, 1988",Los Angeles Clippers,107,Denver Nuggets,134,Box Score,,
"Sat, Nov 19, 1988",Detroit Pistons,98,Houston Rockets,109,Box Score,,
"Sat, Nov 19, 1988",Philadelphia 76ers,122,New York Knicks,141,Box Score,,
"Sat, Nov 19, 1988",Indiana Pacers,96,Sacramento Kings,107,Box Score,,
"Sat, Nov 19, 1988",Charlotte Hornets,107,San Antonio Spurs,105,Box Score,,
"Sat, Nov 19, 1988",Dallas Mavericks,112,Seattle SuperSonics,106,Box Score,,
"Sat, Nov 19, 1988",Phoenix Suns,121,Utah Jazz,134,Box Score,,
"Sat, Nov 19, 1988",Boston Celtics,104,Washington Bullets,108,Box Score,,
"Sun, Nov 20, 1988",New Jersey Nets,106,Portland Trail Blazers,117,Box Score,,
"Mon, Nov 21, 1988",Atlanta Hawks,113,Houston Rockets,117,Box Score,,
"Mon, Nov 21, 1988",Los Angeles Clippers,98,Utah Jazz,117,Box Score,,
"Tue, Nov 22, 1988",Cleveland Cavaliers,114,Boston Celtics,102,Box Score,,"at Hartford, CT"
"Tue, Nov 22, 1988",Detroit Pistons,99,Charlotte Hornets,93,Box Score,,
"Tue, Nov 22, 1988",New Jersey Nets,106,Denver Nuggets,141,Box Score,,
